Track name, Artist name, Album, Playlist name, Type, ISRC
Welcome Home,Radical Face,Touch the Sky (Welcome Home) - EP,Favorite Songs,Favorite,DEX261001001
For A Better Day,Avicii,Stories,Favorite Songs,Favorite,CHB701400189
KNOW ME (feat. Gallant),BRONSON,BRONSON,Favorite Songs,Favorite,GBCFB2000192
Non Stop,Michal David,Non Stop,Favorite Songs,Favorite,CZA168300021
Paper Planes,Julian Gray,Autonomous.,Favorite Songs,Favorite,GBTDG1301531
Sway - Chainsmokers Remix,Anna of the North,Sway (Chainsmokers Remix),Favorite Songs,Favorite,USLGZ1400028
Bottai,Ooyy,Bottai,Favorite Songs,Favorite,SE5Q51902845
All Our Little Talks,Flipboitamidles,All Our Little Talks,Favorite Songs,Favorite,QZBRF1816601
Limitless (feat. Delaney Jane),Adventure Club,Limitless (feat. Delaney Jane),Favorite Songs,Favorite,QMRSZ1501488
That's The Way It Is,Daniel Lanois,The Music of Red Dead Redemption 2 (Original Soundtrack),Favorite Songs,Favorite,USLS51939903
Unshaken,D'Angelo,Unshaken,Favorite Songs,Favorite,USRC11803680
Next To Me (feat. Tina Stachowiak),Axel Johansson,Next To Me (feat. Tina Stachowiak),Favorite Songs,Favorite,DK4YA1805401
Ark,Star Party,Ark,Favorite Songs,Favorite,GB2LD2010147
Crystalline - Dan Sieg Remix,The Midnight,The Midnight Remixed 02,Favorite Songs,Favorite,US83Z1922378
Fly Away,Tones And I,Fly Away,Favorite Songs,Favorite,USAT22006865
Silhouettes - Original Radio Edit,Avicii,Silhouettes,Favorite Songs,Favorite,SEUM71200477
I Went Too Far - MK Remix / Radio Version,AURORA,I Went Too Far (MK Remix),Favorite Songs,Favorite,GBUM71603965
Something New,Axwell /\ Ingrosso,More Than You Know,Favorite Songs,Favorite,USUG11401855
Be There For You,Sedliv,"Beat Saber (Original Game Soundtrack), Vol. II",Favorite Songs,Favorite,QM24S1842652
What's Up Danger (with Black Caviar),Blackway,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Favorite Songs,Favorite,USUM71818369
Try (feat. RØRY),MitiS,Try (feat. RØRY),Favorite Songs,Favorite,GBEWA2100060
How to Be a Heartbreaker,MARINA,Electra Heart (Deluxe),Favorite Songs,Favorite,GBFFS1200077
Savannah,Diviners,Savannah,Favorite Songs,Favorite,GB2LD0902222
Crossed the Line,Jacob Tillberg,Crossed the Line,Favorite Songs,Favorite,TCAEQ2055996
Around the World (La La La La La) - Radio Version,A Touch Of Class,Planet Pop,Favorite Songs,Favorite,DEP810000008
Witchcraft,Pendulum,Immersion,Favorite Songs,Favorite,GBAHT1000133
Seasons - Futuristik & Whogaux Remix,Rival,Seasons (Futuristik & Whogaux Remix),Favorite Songs,Favorite,GB2LD1800494
Diamonds,RMCM,Diamonds,Favorite Songs,Favorite,GB2LD1800747
Spacewalk,Rameses B,Spacewalk,Favorite Songs,Favorite,uscgh1815063
Runaway,AURORA,All My Demons Greeting Me As A Friend (Deluxe),Favorite Songs,Favorite,GBUM71500527
Fearless Pt. II,Lost Sky,Fearless Pt. II,Favorite Songs,Favorite,GB2LD1700381
Your Sister Was Right,Wilbur Soot,Your City Gave Me Asthma,Favorite Songs,Favorite,QZHN82053462
Overdrive,Conan Gray,Overdrive,Favorite Songs,Favorite,USUM72100677
Yellow,Emmit Fenn,Yellow,Favorite Songs,Favorite,TCADX1897778
Yellow,Coldplay,Parachutes,Favorite Songs,Favorite,GBAYE0000267
Young as the Morning Old as the Sea,Passenger,Young as the Morning Old as the Sea,Favorite Songs,Favorite,GBMQN1600008
Sirens,Icarus,This Must Be The Place,Favorite Songs,Favorite,GBAYE1900112
